Gene ID	treated_1	treated_2	treated_3	untreated_1	untreated_2	untreated_3
DDX11L1	8	7	5	12	8	13
WASH7P	1512	985	1236	2342	1600	2075
MIR6859-1	107	71	94	178	128	150
MIR1302-2HG	2	1	2	5	4	4
MIR1302-2	1	0	0	1	1	0
FAM138A	0	0	0	0	0	3
OR4F5	0	0	0	0	0	0
LOC100996442	279	208	234	402	285	370
LOC729737	3422	2305	2885	5349	3664	4971
DDX11L17	4	5	3	11	8	11
WASH9P	2011	1327	1758	3031	2174	2735
MIR6859-2	46	36	48	102	73	80
LOC107985721	4	3	5	8	7	14
LOC112268260	167	134	144	113	82	101
OR4F29	1	1	0	0	1	2
LOC100132287	1621	1079	1354	2383	1683	2183
LOC105378947	14	6	9	9	3	5
LOC101928626	0	0	0	2	0	0
MIR12136	4156	2678	3469	6927	5240	6825
OR4F16	15	10	20	21	20	28
LOC100133331	1353	876	1121	2094	1376	1818
LOC107984841	294	203	242	507	349	454
LOC107984847	476	288	398	776	470	674
LOC107984849	117	66	81	176	132	169
LOC100288069	271	178	209	477	294	392
LINC01409	109	78	89	185	131	177
FAM87B	19	15	14	39	29	37
LINC00115	42	38	32	72	47	41
LINC01128	483	357	420	618	368	566
LOC107984850	0	1	0	2	0	2
FAM41C	7	6	10	8	7	10
LOC284600	620	440	498	1414	926	1190
LINC02593	1284	898	1113	1874	1256	1566
LOC107985728	2686	1842	2101	3322	2200	2648
SAMD11	3717	2754	2894	4257	2821	3566
NOC2L	5001	3376	4101	7483	4960	6549
KLHL17	1378	973	1174	1465	960	1317
PLEKHN1	735	521	606	721	522	629
PERM1	114	93	90	131	75	101
HES4	1361	1176	1038	1081	811	1029
ISG15	2460	1591	2110	1138	693	850
AGRN	23810	16307	18370	18981	12336	15117
LOC100288175	185	143	140	171	112	130
LOC112267874	306	197	222	224	142	223
LOC105378948	410	297	321	454	303	356
RNF223	996	750	748	4348	2720	3652
C1orf159	1082	707	863	1442	991	1226
LINC01342	7	10	7	9	7	10
MIR200B	44	31	29	44	24	27
MIR200A	56	52	34	47	28	38
MIR429	94	61	51	102	52	56
TTLL10-AS1	7	7	13	27	4	15
TTLL10	32	25	19	59	23	34
TNFRSF18	73	58	58	76	48	76
TNFRSF4	7	10	12	4	3	1
SDF4	4267	2992	3522	5149	3453	4453
B3GALT6	1159	942	993	1523	1083	1477
C1QTNF12	100	71	84	152	97	104
UBE2J2	1549	1177	1247	2022	1301	1661
LINC01786	179	93	141	269	198	224
SCNN1D	372	248	308	679	438	577
ACAP3	6610	4492	5120	5623	3825	4710
MIR6726	6	4	4	4	3	3
SNORD167	84	59	57	62	39	57
PUSL1	806	523	626	853	587	740
INTS11	3906	2550	3146	4746	3212	4121
MIR6727	52	39	36	64	29	48
CPTP	904	617	733	977	655	827
TAS1R3	80	50	49	70	59	56
DVL1	4002	2834	3273	4710	3349	4077
MIR6808	11	5	5	12	9	14
MXRA8	346	233	279	228	165	161
AURKAIP1	2108	1530	1629	2939	2094	2772
CCNL2	11731	8254	9272	16062	11035	14453
MRPL20-AS1	856	537	683	1328	914	1257
MRPL20	1188	810	969	2322	1664	2272
LOC107984868	12	17	12	32	21	31
ANKRD65	6	4	2	23	16	31
ANKRD65-AS1	4	1	1	1	3	9
TMEM88B	0	0	3	1	2	1
LINC01770	8	5	9	20	15	27
LOC107985729	13	5	23	21	17	13
VWA1	800	594	633	4820	3016	3900
ATAD3C	84	46	61	100	78	80
ATAD3B	2410	1679	1921	2336	1554	2088
ATAD3A	1654	1057	1215	1928	1299	1735
TMEM240	20	12	15	27	15	28
SSU72	1938	1356	1562	3330	2266	3051
FNDC10	1228	869	1001	1576	951	1196
LOC105378586	111	116	112	172	91	99
MIB2	3618	2551	2967	4747	3069	4065
MMP23B	108	97	85	219	132	174
CDK11B	1898	1317	1605	2809	1729	2390
SLC35E2B	6426	4339	5093	9456	6327	8392
MMP23A	34	33	36	77	45	59
CDK11A	1917	1308	1542	2744	1713	2415
SLC35E2A	2777	2032	2291	4492	2885	3883
LOC112268218	314	234	245	349	224	303
NADK	3468	2355	2725	3127	2026	2693
GNB1	10518	7525	8366	11943	7724	10582
GNB1-DT	14	15	8	11	8	15
CALML6	96	52	74	295	196	234
TMEM52	126	87	103	119	80	104
CFAP74	245	146	190	227	125	213
LOC107984872	1	0	0	2	3	0
LOC105378589	0	1	1	0	1	0
GABRD	28	21	22	49	34	58
LOC105378590	0	0	0	2	8	0
PRKCZ-DT	2	0	1	2	1	1
PRKCZ	1676	1129	1290	1795	1131	1599
PRKCZ-AS1	94	81	128	172	105	170
FAAP20	1018	702	799	1468	981	1268
LOC112268219	301	197	236	429	289	304
LOC105378593	14	11	3	14	16	9
SKI	2368	1668	1766	2692	1673	2174
MORN1	301	208	220	537	331	477
LOC100129534	101	43	61	121	89	132
RER1	2768	1988	2133	3602	2557	3326
PEX10	932	695	783	1493	1070	1276
PLCH2	111	71	88	159	104	98
PANK4	873	566	709	4432	2672	3768
HES5	0	1	0	4	0	8
TNFRSF14-AS1	14	11	7	13	6	5
TNFRSF14	11	7	7	8	6	14
LOC100996583	4	3	5	1	12	9
PRXL2B	1500	980	1186	1930	1280	1617
MMEL1	304	207	277	388	276	351
MMEL1-AS1	1	0	1	0	3	1
TTC34	53	43	57	89	78	85
LOC105378603	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0
LOC105378598	0	1	0	1	0	1
